user_id,count
1695727744480950,82777
1735116464916009801,2
1729339214534808326,2
1693757221569522,6697
1735116464916009819,2
1735116464916009783,2
1725213007488749593,265
1725213007488750285,1
1688173696575014,133
1735116464916009228,1
1735116464916009382,12
1735116464916009748,7
1735116464916009297,152
1681986582059866,3
1735116464916009569,14
1735365593646764716,1
1691055599601114,1
1742081376225595394,2
1725213007488750478,8283
1679552762033994,14
1688975335341338,54
1735116464916009833,1
1693280350685293,613
1698047092097706,66
1680789645730936,792
1697945939156114,37
1735365593646764664,3
1728712324971238270,386
1735365593646764543,470
1735116464916009867,416
1735116464916009842,627
1685084694803486,12
1735116464916009565,432
1735116464916009864,641
1693489129032398,1
1698219997493974,1
1735365593646764504,77
1735116464916009876,79
1729339214534808307,38
1681379661901219,7905
1735116464916009303,55
1735365593646764209,3517
1735365593646764791,1
1735116464916009847,3
1735365593646764784,2
1735116464916009871,8
1735116464916009716,5
1735365593646764804,1
1728712324971238231,1
1699116805660817,1
1735365593646764823,1
1735365593646764768,3
1735116464916009869,1
1735116464916009879,1
1735116464916009877,2
1735116464916009835,1
1725312458689614228,32961
1695006019049932,6
1686632964177604,38325
1735365593646764777,1
1695214216160115,1186
1735116464916009344,2
1724999703633858566,1
1692326428092540,3
1725312458689613841,1008
1693791212050986,763
1687334554419187,26
1725312458689614291,1
1735116464916009862,4
1735116464916009290,66
1686724004148847,13
1725312458689614139,11
1689194204718504,2
1729339214534807875,1
1735365593646764793,1
1735365593646764775,1
1693487106984997,340
1735116464916009890,1
1735116464916009889,2
1729339214534808435,2
1725213007488750452,1
1695201770283566,2
1735116464916009786,1
1729339214534807968,17336
1693561591767542,731
1690793617826250,1391
1735116464916009236,14501
1742553918224732188,635
1729339214534807666,1741
1742552746885648391,15
1698029737165494,14
1742552746885648410,1
1695446846144842,1
1742552746885648412,1
1684839514865842,262781
1742552746885648424,28
1679552118903753,17
1742553918224732203,1
1742552746885648429,2
1742552746885648394,8
1691993935849878,41
1735365593646764731,1
1693312344257420,12
1735365593646764639,3
1735365593646764075,8
1684208789751709,3864
1684494204178625,4
1742552746885648431,3
1695994510484691,6
1742553918224732182,1
1735116464916009700,3
1688620896295468,1
1695349380294671,15
1698465798231518,1
1742553918224732189,2
1742553918224732166,1
1693205337964602,14
1742553918224732177,1
1692163992190727,291
1725213007488750240,1
1742553918224732165,13
1742552746885648403,1
1686749284998219,158
1742553918224732169,2
1742553918224732167,1
1742552746885648418,1
1691378195441884,1
1728712324971237656,1
1679573896165552,6
1728712324971238199,1
1684291070050432,122910
1729339214534807856,33
1742552746885648449,624
1693312214536964,28
1735116464916009178,254
1742552746885648496,1
1735365593646764654,2
1742553918224732233,8
1699336620437883,1
1693312328484143,28
1742553918224732218,2
1742552746885648476,2
1742553918224732216,3
1742552746885648473,1
1735365593646764662,3
1725312458689614271,10
1684912551918072,34
1681815983394074,2
1742553918224732210,1
1693313758598866,18
1735365593646764629,1
1735365593646764221,1
1742553918224732232,11
1688100690475862,81
1742553918224732229,11
1742553918224732222,3
1735116464916009625,3
1735365593646764040,12
1742552746885648439,2
1742552746885648459,2
1693738388887250,422
1742553918224732264,11
1742553918224732251,2
1742553918224732242,8
1689566671156975,6
1742553918224732211,1
1735116464916009616,1
1681455278722180,246
1689216836751413,1166
1742552746885648452,3
1698750492100349,1
1728712324971237972,6
1684400009307917,1
1742553918224732256,3
1735116464916009362,1
1742553918224732205,4
1742553918224732200,9
1742552746885648483,2
1725213007488750072,370
1742552746885648457,2
1742552746885648506,1
1742553918224732227,1
1694684886219071,1300
1725213007488749910,83
1693962504753728,2
1742552746885648502,1
1742552746885648466,1
1693287732817503,414
1691057577792624,2644920
1742552746885648511,2
1697641029846600,8
1742553918224732268,13
1725171871470587905,4
1682429862631184,25
1743503684043542545,1
1742553918224732168,1
1743491566246301706,2
1743503684043542533,1
1693536818029850,12
1742552746885648515,3
1692604578594522,1264
1725213007488750566,1
1735116464916009253,109
1743491566246301715,1
1687269661065888,17
1695964076708815,10
1743491566246301726,4
1743491566246301716,1
1743491566246301729,2
1735116464916009201,2
1693194405291460,1
1743491566246301714,1
1742553918224732220,1
1743503684043542556,1
1697680870267691,6
1689852985712348,34
1684739337478593,1243
1694445195824849,2940
1743503684043542586,6
1743503684043542574,17
1725213007488750528,3
1690435709640419,18
1743491566246301753,15
1743503684043542530,4
1743491566246301728,3
1743491566246301734,1
1743491566246301749,2835
1729339214534808461,1
1743491566246301722,3
1735116464916009853,1107
1743491566246301786,1
1679639904523841,45
1689073763346355,487
1735365593646764615,4885
1742552746885648495,17
1743491566246301790,4
1743491566246301773,1
1728712324971238324,1
1725213007488749918,30
1742553918224732241,8
1743491566246301781,1
1743491566246301768,2
1729339214534808102,2
1695102439956322,5
1743491566246301761,1
1679889403744974,8
1695114638799593,2
1742553918224732219,1
1683699728792393,1
1696659277096765,153680
1728712324971238329,10
1687138935017427,3
1743491566246301760,1
1743503684043542584,1
1729339214534808118,17
1743503684043542585,4
1743491566246301751,2
1743503684043542603,1
1735365593646764740,14
1680789642918495,797
1743503684043542566,3
1743491566246301819,72
1692096204631774,3
1682318474041774,1429
1743491566246301804,21
1686223446575347,99
1742553918224732234,3
1728712324971238254,3
1743503684043542648,2
1691034033895220,18
1687678729989117,4
1743503684043542632,2
1729339214534808284,4
1743503684043542631,2
1743503684043542622,1
1693034618283652,6
1743503684043542587,1
1743503684043542619,14
1743503684043542630,7
1729339214534807899,2
1735116464916009621,1
1681455267657009,8
1685347798191873,1
1725312458689614111,133
