npc_id,count
112421463961798,24
82372350812313,3
148282923823320,13
92339986870391,40
57469646291053,26
71382521758014,61
141615291121973,3
59169439498337,89
151535649386724,3
132066229665902,13
132282131009763,11
138391985815858,78
78554995093593,4
131553424396439,1
81182383296827,66
137022852972908,16
134475066630272,41
154290873573598,16
66129893064992,17
86655691518063,1
157152598814946,11
118601095909548,2
138779507204368,32
119830413004997,16
135794490663092,8
123264457609368,1
154735802511492,60
146580711551235,24
121106865541236,1
155733196193914,1
111833805766839,1
126393985773727,10
107724267602100,5
99016,11
138072964518012,1
72376,168
91955426504970,122
89925984964776,13
112594624864487,19
133714979037330,7
111071112642754,3
107637672501359,7
106187183948026,170
143996443685090,50
108790137098380,20
143729439215876,126
118690499170394,3
97603648766086,5
77020436930680,19
138362817405201,14
131578304421994,11
119232629973225,84
134170690707546,5
152816637792636,5
158099252682999,3
153609029107987,4
121312015315169,18
118826389323886,5
87451507048760,1
98161170358575,21
131611968950466,19
64695373148251,15
91964801998982,6
121847918248187,11
64523988435022,2
122561670660274,2
119992955998381,1
157565421514902,15
102593499365520,6
96857818091645,3
109286577365132,17
76859023859853,9
146406099161231,122
137725060317295,9
140608944226391,38
141255452643400,47
144291508330840,18
131310213599452,4
158462860468443,110
117572463571069,14
151610908586230,38
137207925993633,11
74569282797863,18
97278774346023,1
79612725174575,1
119004678803708,7
144818603966559,51
153972675809424,204
120428989694157,39
114226444665004,25
138973119701144,23
132003797913801,26
110118380925157,100
91056066895942,439
124187108016375,7
150988129698150,21
141984327471473,8
143397080096943,4
96823134892193,9
100439611707602,21
126049561673979,7
154588076232939,328
158831961207233,17
113063539990658,130
146509840875644,94
127042994204868,13
113617261654257,35
77067180314940,2
150872098480248,17
149379965161751,56
107886728855727,13
89297342103642,20
133107575418952,7
151472620626145,8
125278093869149,30
122444769767624,25
138327725776965,9
157829910221306,38
140558084903293,47
151164007420058,40
102124656025764,23
102145691222095,17
160292613333452,1
136961720553792,31
149416439623984,19
125582386036882,13
137420174852294,15
143954557645070,8
112232340996291,114
117726552244350,3
107174151225522,16
134157687206046,22
108753876078835,8
138967137472746,1
129853443981516,5
108010475462763,56
60027404464287,119
101551478042834,28
108122338939113,36
107480487518397,32
89427555033361,1
103682142933193,8
119160220688614,56
154388424139037,1
131876572872823,33
100052659282121,9
136171000320089,71
134741265363194,55
113849985056887,13
119260278104199,85
145859683262701,2
146527975850058,3
155052472754363,170
146699488244066,1
82855142785314,101
121559707320565,7
156693955444942,19
89188489916606,7
126196776394842,1
156147688833525,25
157780497637527,6
115751620808804,4
148304616222956,9
79659170664712,6
80333875454039,6
130866038141091,5
136958253478080,6
159308582052029,41
126936208310433,18
105044427792493,11
84445027278997,7
136578316718305,1
126204946727073,8
148975224815795,12
101517255528528,10
108904539029617,139
106755895038186,12
143713855328518,58
153584831889486,5
151395254325553,65
111331246051581,13
136581534314561,5
76933708566612,1
146706927038759,3
150706113982805,16
55942182187155,6
153673815286088,26
42620,3
141654573252819,9
60795489968429,33
116845758111885,13
88761630367832,6
57100,3
68339972550738,54
84976944693393,109
147404573466835,1
154346813993295,215
109799492743297,58
118713162309821,11
137365671235784,3
94054844444818,71
76933708566652,19
99177027821857,14
135951814668354,120
149362877239639,3
106136411000988,7
41797,30
121104511311943,53
124575791280279,6
114094376567025,25
84393,35
146618212139104,16
118582326276281,2
104629544357962,5
98135072882753,45
124980789391481,3
148531314983272,4
154354652623169,22
119941515268182,7
102348604383340,16
126118203007143,5
134157687206068,13
147991371137397,1
125274352603277,14
113931889197144,9
119562347462801,14
68020597792845,4
73588692463923,8
80927069929774,3
135774720176275,1
105091411828984,1
110093669961792,22
71515435065614,6
150450699186491,4
88209406963827,5
119716033732811,10
143673103221102,68
109431801438460,8
82855790891195,8
114178981966062,10
114177275744435,16
59632770105483,4
138720170266997,1
143572410143025,8
89910850310277,16
100991780077795,4
109093533831257,23
121406551298124,75
143765483679920,2
119310968217763,9
98144821428531,22
131487184941308,69
85426037252160,8
125762478133324,27
143074859896910,5
104730614923427,3
138062213775511,17
123984691691662,38
154542424572003,45
125692698361991,41
144104014532862,99
133703256076531,12
89566954119238,54
92384826581139,6
146974953316513,45
86362520092848,9
118855158063198,80
93055518572698,14
126309243564255,15
122870778638538,1
59408807522622,3
155673211809945,36
112476824051776,2
108610513998028,3
141169780072700,39
76585989271815,1
104395068285039,20
151510113349750,5
71026899411102,7
87575407255818,5
124504930111704,1
82012277620915,11
141865995120852,66
103033871597652,75
131699469533373,27
139482133442872,4
136216214519955,1
65310598660400,3
137423231295785,1
72216141713548,4
105417877897410,7
125893271077030,7
95637612503120,45
141370268717269,5
117776843141243,12
113830691975360,2
119195234541732,108
133079769727098,1
72178819686562,5
99699212407046,5
98046346469694,24
137189389619554,43
143259684077740,18
110659748901069,9
66858637688950,6
136038810112224,13
141324008632670,7
119652507091101,18
111285386502384,25
151113383497904,8
130555022688333,1
149023271731428,12
121555505660110,18
80728537559138,4
81768598343950,3
114404719734986,27
106142021890253,2
91889231192187,104
152217492811999,82
146477159231610,4
123094063353990,4
